Class	Type	Kit	Tags	Description
Soldier	Blademaster	Dueling Steel	Gear, Weapon, Defense, Accurate	A regulation-length sword for resolving legal disputes. Using this weapon gives you Advantage on rolls to defend against melee attacks until the start of your next turn, and adds +1 to the roll result of your attacks. You have Advantage when provoking others into a duel.
Soldier	Blademaster	Flametongue	Gear, Weapon	A sword of living flame whose length and heat can be controlled. Can be used to weld metal, set objects on fire, and burn enemies. You have Advantage when attacking beasts and other wildlife with this weapon.
Soldier	Blademaster	Vorpal Blade	Gear, Weapon, High Damage	An impossibly sharp sword made of liquid metal. Using this weapon allows your attacks to cleanly slice through iron. Successful attacks deal an additional box of damage, and can cause harm in a small area of effect near your primary target.
Soldier	Blademaster	Windcutter	Gear, Weapon, Ranged	A curved scimitar that catches the wind and turns it into sharp blades. Using this weapon greatly extends the range of your attacks. You have Advantage when defending against projectile attacks like arrows and bullets.
Soldier	Blademaster	Windwalking Boots	Gear	A set of boots that hover just above the ground while worn. Can be used to run across water, ignore the effects of bad terrain, and change direction in mid air. You have Advantage when climbing.
Alchemist	Chemist	Agua Regia	Alchemy	A dangerously potent acid that eats through metals with ease. Can be used to break locks, sabotage equipment, and create clouds of poisonous gas. You can expend a Potion to create a poisonous gas bomb that fills the air with thick toxic smoke.
Alchemist	Chemist	Midnight Oil	Alchemy	A dark oil that absorbs sound and light, muting its surroundings. Can be used to create invisible flames, create sleeping gas, and dampen sound or light. You can expend a Potion to create a knockout grenade that releases sleeping gas into an area, dealing Mental damage.
Alchemist	Chemist	Mist Rod	Gear, Weapon	A mechanical tool with a nozzle that sprays chemicals. Can be adjusted to shoot liquids or spray fine mists. When used as a weapon, produces a painful acid wash that causes Physical damage. Can be used with other Alchemy kits.
Alchemist	Chemist	Vacuum Space	Alchemy	A jar of carefully prepared void, which emits a strong suction force when opened. Can be used to capture a fog of poisonous gas, put out fires, and propel yourself forward. You can expend a Potion to create an implosion grenade.
Alchemist	Chemist	Vorpal Glue	Alchemy	An unprocessed liquid metal that hardens after exposure to the air. Can be used as an adhesive, as a construction material, and as means of restricting enemy movement. You have Advantage when repairing or building objects with this tool.
Alchemist	Chemist	Winterbloom Extract	Alchemy	Highly-concentrated extract from the Winterbloom flower. Can be used to freeze large volumes of water, create clouds of fog, and plummet the temperature of objects. You can expend a Potion to create a flash freeze bomb that deals damage and covers an area with a thin sheet of ice.
Advanced	Chevalier	Bravo’s Charm	Alchemy	An alchemical perfume that draws attention. Can be used to lure monsters, create distractions, and draw the focus of crowds. You have Advantage when making yourself stand out, when rallying others, and when flirting.
Advanced	Chevalier	Cutting Wit	Gear, Weapon	A slender rapier meant for duelling. Using this weapon, you can choose between dealing Physical or Mental damage. You have Advantage when intimidating or provoking others.
Advanced	Chevalier	Honeyed Words	Alchemy	A handful of alchemic candies that diminish pain and induce sleep. Can be used to endure harm, tranquilize unwary guards, and ease suffering. You have Advantage on rolls to resist discomfort, or when bribing others.
Advanced	Chevalier	Lover’s Embrace	Gear	A charmed scarf that can change its properties on command. Can be extended into a length of sturdy rope, used as a whip, or made rigid as steel. You have Advantage when grappling someone with this tool.
Advanced	Chevalier	Sharp Retort	Gear, Weapon, Defense, Reaction	A long dagger held in the off-hand, intended to parry and riposte. Using this weapon to attack gives you Advantage on rolls to defend until the start of your next turn. On a successful defense against a melee attack, you inflict a box of Physical damage to the attacker.
Advanced	Chevalier	Venomous Smile	Gear, Weapon, Ranged, High Damage	A set of throwing knives coated in fey poison. Wounds made with this weapon bleed far more than they should. Successful attacks deal an additional box of Physical damage.
Advanced	Conjurer	Brimstone Powder	Alchemy, High Damage	An otherworldly dust that conducts and magnifies magical energy. Can be used to set explosive traps, turn fire into waterproof hellfire, and bribe unsavory merchants. You can expend a Potion to create a hellfire grenade that deals two boxes of Physical damage.
Advanced	Conjurer	Fey Venom	Alchemy	A drug that changes the properties of blood. Can be used to stop blood loss, create wounds that bleed incessantly, and treat inflammation. When you produce a Potion, it heals an additional Physical box.
Advanced	Conjurer	Solomon Rod	Gear, Weapon	A metal rod that holds sway over otherworldly creatures. Successful attacks against magical creatures fog their minds and deal an additional box of Mental damage. You have Advantage when influencing magical creatures.
Advanced	Conjurer	Talisman of Demons	Talisman	A wand or other object that can be used to bring forth demonic influence. Can be used to summon imps, consult devils for knowledge, and fling hellfire. You have Advantage when using Knowledge to recall forbidden information.
Advanced	Conjurer	Talisman of Fey	Talisman	A wand or other object that can be used to bring forth faerie influence. Can be used to summon will-o-wisps, bewitch the senses, and change your appearance. You have Advantage when using Presence to confuse and bewilder others.
Advanced	Conjurer	Talisman of Jinn	Talisman	A wand or other object that can be used to bring forth jinn influence. Can be used to summon snakes, control sand, and see into the past of an object. You have Advantage when using Knowledge to recall history.
Advanced	Corsair	Bloody Cutlass	Gear, Weapon, High Damage	A sword with a nasty red hue that drinks blood with every strike. Successful attacks deal an additional box of damage. You have Advantage when intimidating others.
Advanced	Corsair	Grapple Hook	Gear	A projectile grappling hook, the last resort of unfortunate sky pirates. Can be used to avoid fatal falls, capture fleeing enemies, and make daring entrances. You have Advantage when making quick escapes.
Advanced	Corsair	Marauder Flintlock	Gear, Weapon, High Damage	A bewitched handgun whose bullets hit like cannon balls. Using this weapon breaks through armor and obstacles with significant force, but requires several minutes to reload. Successful attacks deal an additional box of damage. You have Advantage when using this weapon to destroy objects.
Advanced	Corsair	Sticky Fingers	Gear	A set of gloves covered in an odd adhesive. Allows the user to climb any surface with ease and snatch objects with a light touch. You have Advantage when stealing.
Advanced	Corsair	Talisman of Sea	Talisman	A wand or other object that can be used to call on the spirits of the sea. Can be used to shift the flow of currents, breathe underwater, and speak with creatures of the sea. You have Advantage when swimming.
Advanced	Corsair	Talisman of Sky	Talisman	A wand or other object that can be used to call on the spirits of the sky. Can be used to whip up strong winds, find your way when lost, and speak with creatures of the sky. You have Advantage when breaking your falls.
Advanced	Dragon Knight	Dragon’s Breath	Alchemy	A draught that lets the user breathe flames like a dragon. Can be used to spit flame at an enemy and blow clouds of fire. You are immune to fire while this kit is equipped.
Advanced	Dragon Knight	Dragon’s Eyes	Alchemy	A draught that changes the user’s eyes to see like a dragon. Can be used to see heat, see in the dark, and see across great distances. You have Advantage on rolls related to eyesight.
Advanced	Dragon Knight	Dragon’s Scales	Alchemy	A draught that causes the user to grow scales like a dragon. You have Advantage when defending against piercing attacks, like arrows or fangs.
Advanced	Dragon Knight	Thunderclap Javelins	Gear, Weapon, Ranged	A set of javelins that release sonic booms when they land. Using this weapon shatters the eardrums of enemies, deafening and disorienting in an area around your main target. You have Advantage when using this weapon against flying targets.
Advanced	Dragon Knight	Vorpal Spear	Gear, Weapon, Ranged, High Damage	A spear tipped with vorpal metal, capable of piercing through a dragon’s scales. A length of chain connects the spear to its wielder. Successful attacks deal an additional box of damage. You have Advantage when attacking heavily armored targets.
Advanced	Dragon Knight	Winged Boots	Gear	A pair of boots charmed to augment the wearer’s jumping abilities. Can be used to leap onto buildings, fall without harm, and kick doors off their hinges. You never take harm from falling, provided you land on your feet.
Advanced	Druid	Athame	Gear, Weapon	A ritual knife used in sacrificial practices. You recover a Mana Point whenever you use a Talisman or this weapon to incapacitate a target in melee range.
Advanced	Druid	Blight	Alchemy	A dangerous toxin that corrupts and corrodes living matter. Can be used to spread disease, wither plants, and poison water. You are immune to poisons and diseases while this kit is equipped.
Advanced	Druid	Primal Staff	Gear, Weapon	A staff carved from a lightning-stuck tree. Wielding this weapon gives you Advantage on all rolls to influence or attack wildlife. Natural wildlife will not attack you unless provoked.
Advanced	Druid	Talisman of Beasts	Talisman	A wand or other object that can be used to take the form of an animal. Can be used to transform into wolves, birds, and other natural creatures. You can speak with and understand wildlife.
Advanced	Druid	Talisman of Storms	Talisman	A wand or other object that can be used to change the weather. Can be used to summon rain, call down lightning from the sky, and drive howling winds. You have Advantage when using Presence to inspire terror.
Advanced	Druid	Talisman of Time	Talisman	A wand or other object that can be used to gently influence time. Can be used to peer into the past, accelerate decay, and speed the growth of plants. You have Advantage when detecting danger in the immediate future.
Alchemist	Enchanter	Compliant Rod	Gear, Alchemy	You have a servant that takes the form of a metal staff. It can shrink to fit in a pocket or grow to ten feet in length. You can expend a Potion to lock the staff in place, defying gravity and requiring several hundred pounds of force to move.
Alchemist	Enchanter	Dancing Shadow	Alchemy, Reaction	You have a servant made of shadow. The servant resides within your shadow but can move independently and interact with the physical world. It can retrieve lightweight objects and store a small number within itself. You can expend a Potion to have the shadow deflect an incoming attack.
Alchemist	Enchanter	Featherweave	Alchemy, Reaction	You have a servant made from enchanted cloth, capable of resisting gravity to a limited degree. You glide gently to the ground while wearing this kit. When folded into a bag, you can carry heavy objects with ease. You can expend a Potion to turn the Featherweave into a flying carpet, able to carry multiple people for a short time.
Alchemist	Enchanter	Float Glass	Gear, Weapon, Alchemy	You have a servant made of floating glass, able to break apart into sharp shards and reform at will. You can command the servant to slash at enemies nearby. You can expend a Potion to transform it into a grenade, shredding everything in the blast radius before reforming.
Alchemist	Enchanter	Golem	Alchemy	You have a servant made from clay, capable of fighting independently and lifting heavy objects. Equipping this Kit provides one golem. You can expend a Potion to create additional golems.
Alchemist	Enchanter	Shikigami	Alchemy	You have servants made from enchanted paper, capable of flying, spying, and carrying messages.  Equipping this kit provides half a dozen shikigami. You can expend a Potion to create an additional six servants.
Advanced	Fell Knight	Ash Knives	Gear, Weapon, Ranged	A set of cursed throwing knives that prevent alchemical and magical healing. Using this weapon ensures that targets cannot be revived or reanimated. You have Advantage when attacking undead with this weapon.
Advanced	Fell Knight	Mournblade	Gear, Weapon, High Damage	A sword with a demon trapped inside. Using this weapon restores a Fortune box whenever it’s used to incapacitate an enemy. Successful attacks deal an additional box of damage. You have Advantage when using this weapon to attack demons and spirits.
Advanced	Fell Knight	Talisman of Fear	Talisman	A wand or other object that can be used to push terror into the minds of others. Can be used to incite a retreat, paralyze an enemy, and cause seizures. You have Advantage when intimidating others with Bravery.
Advanced	Fell Knight	Talisman of Siphoning	Talisman	A wand or other object that can be used to steal energy. Can be used to drain lifeforce from others, tap into the power of an enchanted object, and consume spirits. Restores one Physical box on successful attacks.
Advanced	Fell Knight	Vim Drink	Alchemy	A distant ancestor to the modern alchemist potion. When consumed, the user expends a Mental box in exchange for recovering a Physical box. Can be used by others.
Advanced	Fell Knight	Wither Toxin	Alchemy	A bitter venom that causes intense pain. Can be used to inflict Mental damage, cripple the wills of enemies, or cloud the mind. You have Advantage when interrogating someone for information.
Advanced	Forgemaster	Adamantine Shield	Gear, Defense	A heavy shield made of a nearly indestructible material. Can be used as a makeshift anvil. You have Advantage when blocking all Physical forms of attack.
Advanced	Forgemaster	Philosopher Stone	Alchemy	A liquid gem that can change one metal into another. Can be used to transmute strong metals into weak metals and vice versa. The greater the change, the more Knowledge is required to succeed. You can sacrifice this kit to recover two Potions, losing its functionality until the next time you rest.
Advanced	Forgemaster	Runic Warhammer	Gear, Weapon	An enchanted hammer with power over metal. Using this weapon damages and destroys other enchanted objects. Your strikes shatter ordinary metal.
Advanced	Forgemaster	Searing Carbuncle	Alchemy	A ruby that catches light and produces burning beams. Can be used to make precise etchings, start fires, and cut through metals.
Advanced	Forgemaster	Talisman of Fortification	Talisman	A wand or other object that brings out the potential of an object. Can be used to make materials sturdier, sharper, or otherwise stronger. You have Advantage when reinforcing or repairing objects.
Advanced	Forgemaster	Talisman of Metal	Talisman	A wand or other object that manipulates metal. Can be used to reshape metal, magnetize objects, and heat metallic materials. You have Advantage when defending against metal weapons.
Advanced	Gunslinger	Dueling Pistol	Gear, Weapon, Ranged, Defense	A pistol intended for formal duels. Using this weapon gives you Advantage on rolls to defend against ranged attacks until the start of your next turn. You have Advantage when provoking others.
Advanced	Gunslinger	Magic Bullets	Gear	A collection of enchanted bullets. Includes silver bullets that tear through magic, whiplash bullets that create gusts of wind to disperse smokescreens, and spark bullets that manifest as bolts of lightning.
Advanced	Gunslinger	Quickdraw Pistols	Gear, Weapon, Ranged	A set of single-shot pistols built for quick access. If you strike before an enemy, the attack is treated as a sneak attack. You have Advantage when determining who goes first, such as rolling turn order.
Advanced	Gunslinger	Trick Bullets	Gear, Accurate	A collection of bullets with unusual effects. Includes non-lethal rubber bullets, two-shot bullets that can change trajectory in midflight, and paint bullets that stain skin. Attacks with these bullets are especially accurate, adding +1 to rolls.
Advanced	Gunslinger	War Bullets	Gear, High Damage	A collection of specialized bullets for warfare. Includes steel-tipped bullets for piercing through cover, breaching rounds for opening doors, and flare rounds for signalling. Successful attacks with these bullets do an additional box of Physical damage.
Advanced	Gunslinger	Warded Greatcoat	Gear	A leather jacket imbued with protective magic. You have Advantage when defending against bludgeoning, such as bullets or clubs.
Soldier	Knight	Annointing Oil	Alchemy	A ritual oil that knights don before battle. Can be used to attract monsters, grant immunity to curses, and create holy flames that eat away at magic without harming the body. You have Advantage when defending against magic while this kit is equipped.
Soldier	Knight	Guardian Shield	Gear, Reaction	A magnetic shield that attracts arrows, bullets, and swords away from allies. When a nearby ally is attacked, you can choose to take damage in their place and gain a Fortune Point for doing so. Damage taken in this way cannot be reduced or avoided.
Soldier	Knight	Holy Sword	Gear, Weapon	A blade quenched in holy water. Using this weapon allows your attacks to destroy magic and repel evil. You have Advantage when destroying magic, inspiring others, or intimidating creatures aligned with dark magic.
Soldier	Knight	Hospitaler Salts	Alchemy	Smelling salts that wake the unconscious. Can be used to revive allies, jolt others out of a trance, and overpower odors. Revived allies clear one box of damage, Physical or Mental, depending on which is necessary.
Soldier	Knight	Smiting Mace	Gear, Weapon, High Damage	An enchanted warmace that stores kinetic energy. Using this weapon allows your attacks to knock enemies back or into the air with significant force. Successful attacks deal an additional box of damage.
Soldier	Knight	Taunting Scourge	Gear, Weapon	An enchanted metal chain with barbs that bind and restrict enemies. Using this weapon grapples targets in addition to any damage dealt, keeping them from moving outside of melee range. You have Advantage when provoking others into attacking you.
Soldier	Legionnaire	Flex Pilum	Gear, Weapon, Ranged	A set of thin alchemical javelins with points on both ends. They become much sturdier when a point impacts a target. Using this weapon knocks enemies to the ground. Can be used to create spike traps, small palisades, and similar fortifications.
Soldier	Legionnaire	Legion Pick	Gear	A combination handaxe and hammer made of adamantine. Can be used to collect lumber, destroy walls, and break objects apart with ease. You have Advantage when destroying objects with this tool.
Soldier	Legionnaire	Pocket Wall	Alchemy	A rapidly expanding cement-like substance. Can be used to create shelter, mend cracks, seal doors, or adhere objects to one another. You have Advantage when building or repairing objects with this kit.
Soldier	Legionnaire	Shocklance	Gear, Weapon	A spear whose tip crackles with electricity, causing intense pain on contact. Using this weapon inflicts a box of Mental damage on successful attacks, in addition to any Physical damage dealt. You have Advantage when attacking targets wearing metal armor.
Soldier	Legionnaire	Vanguard Shield	Gear, Weapon, Defense	A collapsible shield that can unfold from a bracer into a large shield with a flick of the wrist. Using this weapon to attack gives you Advantage on rolls to defend until the start of your next turn. You have Advantage when protecting others from harm.
Soldier	Legionnaire	Wicked Blade	Gear, Weapon, Accurate, Reaction	A sharp shortsword that seeks out targets. Using this weapon adds +1 to the roll result of your attacks, significantly improving the chance that they’ll inflict damage. Enemies that attempt to leave your melee range take one box of Physical damage.
Mage	Priest	Holy Symbol	Gear	A glowing pendant that commands the respect of spirits. Can be used to repulse the undead with divine light and petition powerful spirits for an audience. You have Advantage when negotiating with magical entities.
Mage	Priest	Judge’s Staff	Gear, Weapon	A symbol of authority, both magical and political. Can be used to declare a contract magically binding and to pass legal judgement. You have Advantage when using Talismans against other mages.
Mage	Priest	Talisman of Abjuration	Talisman, Reaction	A wand or other object that can be used to repel and dispel. Can be used to create barriers, destroy magic, and turn away otherworldly influences. You can expend a Mana Point to deflect an attack aimed at you.
Mage	Priest	Talisman of Divination	Talisman	A wand or other object that can be used to petition otherworldly forces for information. Can be used to divine the location of people, places, and things through magical means. You have Advantage when identifying magic or magical effects.
Mage	Priest	Talisman of Dreaming	Talisman	A wand or other object that influences the boundary between conscious and unconscious. Can be used to induce sleep, daze enemies, and curse others with night terrors. You have Advantage when using Presence to put others into a stupor.
Mage	Priest	Talisman of Necromancy	Talisman	A wand or other object that influences the boundary between life and death. Can be used to heal Physical damage, summon ghosts for information, and create undead. The number of Physical boxes healed is equal to the result of the roll.
Scoundrel	Ranger	Shepherd’s Flute	Gear	A ritually crafted flute that has power over simple-minded creatures. Playing the flute can calm wildlife, or stir them into a dangerous frenzy. You can use I Know a Guy to recruit a local beast to aid you. You have Advantage when influencing animals.
Scoundrel	Ranger	Talisman of Life	Talisman	A wand or other object that can be used to preserve life. Can be used to heal wounds, sense the presence of living things, and detect disturbances in the natural order. The number of Physical boxes healed is equal to the result of the roll. You have Advantage when tracking others.
Scoundrel	Ranger	Talisman of Wood	Talisman	A wand or other object that can be used to manipulate plants. Can be used to accelerate plant growth, command flora, and commune with the spirits of the land. You have Advantage on rolls to interact with plant life.
Scoundrel	Ranger	Tamer’s Whip	Gear, Weapon	An enchanted leather whip that controls beasts. Successful attacks against wildlife deal one box of Mental damage instead of Physical. A beast incapacitated with this weapon will submit to the wielder and follow their commands.
Scoundrel	Ranger	Twin Edges	Gear, Weapon, Ranged, Reaction	A pair of charmed axes that gravitate towards one another. Throwing one axe will cause it to boomerang back towards the other. On a successful defense against a melee attack, you inflict a box of Physical damage to the attacker.
Scoundrel	Ranger	Whisper Bowstring	Gear, Weapon, Ranged	A bowstring made of siren hair. Using this weapon creates pockets of silence where arrows land, in addition to any Physical damage dealt. You have Advantage when trying to move quietly.
Alchemist	Sapper	Concussive Charges	Alchemy	Explosive bullets that create powerful shockwaves to knock enemies over with instead of dealing Physical damage. You can expend a Potion to create a concussive grenade that deals damage and creates a shockwave.
Alchemist	Sapper	Grease Charges	Alchemy	Capsule bullets filled with slippery and flammable grease, covering targets instead of dealing Physical damage. You can expend a Potion to create a grease bomb that covers an area with oil.
Alchemist	Sapper	Jaeger Rifle	Gear, Weapon, Accurate, Ranged	A long-barreled gun used for precision shooting. Using this weapon adds +1 to the roll result of your attacks, significantly improving the chance that they’ll inflict damage. You have Advantage when making ranged attacks without any distractions.
Alchemist	Sapper	Phosphos Charges	Alchemy	Volatile bullets that ignite targets and produce blinding flashes of light. You can expend a Potion to create a flash bomb that blinds enemies, or a fire bomb that causes damage and sets the area ablaze.
Alchemist	Sapper	Trenchcoat Boomstick	Gear, Weapon	A short-barreled gun used for clearing rooms. Using this weapon allows your ranged attacks to cause harm in a cone area-of-effect immediately in front of you.
Alchemist	Sapper	Trenchsteel Charges	Alchemy	Loaded bullets that fire twice, changing trajectory in mid-air to shoot around corners or cover. You can expend a Potion to create a ball bearing grenade that deals damage and covers an area with metal balls.
Mage	Shaman	Spirit Well	Gear	A gemstone imbued with energy. You have a +1 to Magic rolls using a specific Talisman, chosen when this kit is equipped. You can sacrifice this kit to recover two Mana Points, but lose the +1 benefit until your next rest.
Mage	Shaman	Talisman of Air	Talisman, Reaction	A wand or other object that can be used to manipulate air. Can be used to create ferocious whirlwinds, fall gently from great heights, and rebuff projectiles. You can expend a Mana box to deflect an attack.
Mage	Shaman	Talisman of Earth	Talisman	A wand or other object that can be used to manipulate earth. Can be used to throw jagged spikes from the ground, reshape stone, and send tremors through the earth. You cannot be knocked over or otherwise forcibly moved while this kit is equipped.
Mage	Shaman	Talisman of Fire	Talisman	A wand or other object that can be used to manipulate fire. Can be used to throw flames, create floating torches, and control raging fires. You cannot be harmed by fire while this kit is equipped.
Mage	Shaman	Talisman of Water	Talisman	A wand or other object that can be used to manipulate water. Can be used to create spears of ice, conjure fog, and purify liquids. You have Advantage when using detecting nearby magic.
Mage	Shaman	Warmage Staff	Gear, Weapon, High Damage	A sharpened staff that doubles as a spear. Using this weapon, even basic attacks with Talismans deal an additional box of Physical damage when successful.
Advanced	Spellsword	Mythril Blade	Gear, Weapon	A blade that conducts magic. Using this weapon allow you to apply the effects of an equipped Talisman in conjunction with an attack.
Advanced	Spellsword	Mythril Gauntlets	Gear	A pair of gauntlets that conduct magic. Can be used to channel the power of an equipped Talisman into your hands, into an object being touched, or into a person being touched.
Advanced	Spellsword	Talisman of Moon	Talisman, Reaction	A wand or other object that can be used to deflect harm away from your body. Can be used to create barriers around yourself. You can spend a Mana box to avoid harm from incoming attacks. You have Advantage when blocking.
Advanced	Spellsword	Talisman of Stars	Talisman	A wand or other object that can be used to accelerate your body. Can be used to heal yourself and react before others. The number of Physical boxes healed is equal to the result of the roll. You have Advantage when dodging.
Advanced	Spellsword	Talisman of Sun	Talisman, Reaction	A wand or other object that can be used to radiate heat and light from your body. Can be used to burn off restraints, blind nearby enemies, and stave off cold. On a successful defense against a melee attack, you inflict a box of Physical damage to the attacker.
Advanced	Spellsword	Talisman of Terra	Talisman, High Damage	A wand or other object that can be used to amplify the force of a blow delivered by your body. Can be used to add a box of Physical damage to a strike, knock enemies back, and jump great heights.
Advanced	Templar	Abjuring Chain	Gear, Weapon	A metal chainlink whip engraved with warding runes. Using this weapon allows your attacks to interfere with magic. The whip can be joined together to create a magic circle that repels magic from the outside and contains magic within. You have Advantage when attacking mages.
Advanced	Templar	Lantern Spear	Gear, Weapon, High Damage	A shaft of steel tipped with enchanted silver that permanently glows with searing heat. Successful attacks against deal an additional point of damage. You have Advantage when attacking magical creatures.
Advanced	Templar	Sacred Censure	Gear	A brass vessel suspended by a chain, made for burning incense. Can be used to dampen magic in an area, repel wildlife, and ward away evil. You have Advantage when defending against magic.
Advanced	Templar	Talisman of Binding	Talisman	A wand or other object that can be used to restrict and reinforce. Can be used to imprison enemies, to fortify objects against damage, and to seal away magic. You have Advantage when grappling others.
Advanced	Templar	Talisman of Purification	Talisman	A wand or other object that can be used to purify and sanctify. Can be used to expel poisons, harm magical creatures, and bless objects with the power to ward off spirits. You are immune to curses, poisons, and disease.
Advanced	Templar	Tolling Bell	Gear	A metal bell whose deep sound sends a feeling of peace through those who hear it. Can be used to destroy weak undead, lull others to sleep, and scare away wildlife.
Advanced	Witch	Byrd	Gear	An intelligent bird spirit, usually a crow or raven, that serves you. It can speak, deliver messages, and warn you of nearby threats. If destroyed, you can call it back into the world with a bird feather. You have Advantage when noticing danger.
Advanced	Witch	Flying Broom	Gear, Defense	An enchanted staff built using the same principles as airships. Can be used to fly through the air with ease and at high speeds. You have Advantage when dodging attacks while on the broom.
Advanced	Witch	Slowing Thorns	Gear, Weapon	A set of needles tipped with slowing poison. Using this weapon reduces a target’s ability to react quickly, think clearly, and pursue. You have Advantage when attempting to escape or flee.
Advanced	Witch	Talisman of Heart	Talisman	A wand or other object that influences positive emotions. Can be used to calm others, improve moods, and dimish hostilities. When you fail to influence someone with Presence, they do not become hostile.
Advanced	Witch	Talisman of Restoration	Talisman	A wand or other object that mends that which is broken. Can be used to fix damaged objects, repair enchanted items, and heal wounds. You have Advantage when repairing objects. The number of Physical boxes healed is equal to the result of the roll.
Advanced	Witch	Willow Perfume	Alchemy	A bottle of alchemic perfume that fogs minds. Can be used to erase recent memories, lower someone’s guard, and become less noticable. You have Advantage when using Presence to hypnotize or charm others.
Mage	Wizard	Familiar	Alchemy	You have a shapeshifting servant that takes the form of a small animal, such as a crow or cat. You are able to borrow its senses, issue commands to it, and cast spells through it. You can change your familiar’s shape by expending a Mana box.
Mage	Wizard	Talisman of Aether	Talisman	A wand or other object that can be used to manipulate electromagnetic energy. Can be used to shoot lightning, magnetize metals, and control the flow of electricity. You are immune to harm from lightning.
Mage	Wizard	Talisman of Force	Talisman, Reaction	A wand or other object that can be used to manipulate kinetic energy. Can be used to perform telekinesis, lob blasts of kinetic force at enemies, and adjust the speed of moving objects. You can expend a Mana Point to deflect an attack aimed at you.
Mage	Wizard	Talisman of Gravity	Talisman	A wand or other object that can be used to manipulate gravity. Can be used to pull an enemy to the ground, lighten the weight of an object, and adjust gravity. You cannot be harmed from falling.
Mage	Wizard	Talisman of Heat	Talisman	A wand or other object that can be used to manipulate thermal energy. Can be used to ignite enemies, freeze objects, and adjust temperature. You cannot be harmed by thermal effects like heat stroke or hypothermia, but are still vulnerable to fire, ice, and other elemental attacks.
